LA Code,,,,Children's and young people's services £000s,Pupil / Population Count,Spend per Capita (£) 
E09000018,313,Hounslow,,"51,826","65,448",792
E09000021,314,Kingston upon Thames,,"23,187","40,422",574
E09000024,315,Merton,,"35,886","48,277",743
E09000026,317,Redbridge,,"36,309","78,762",461
E09000027,318,Richmond upon Thames,,"27,733","46,239",600
E09000029,319,Sutton,,"32,596","49,188",663
E09000031,320,Waltham Forest,,"50,135","67,983",737
,,,,,,
,,SOUTH EAST,,"1,334,168","1,978,340",674
E06000036,867,Bracknell Forest,,"21,820","28,941",754
E06000043,846,Brighton and Hove,,"55,140","51,649","1,068"
E10000002,825,Buckinghamshire,,"77,774","126,481",615
E10000011,845,East Sussex,,"63,602","108,038",589
E10000014,850,Hampshire,,"175,581","285,655",615
E06000046,921,Isle of Wight,,"21,920","25,024",876
E10000016,886,Kent,,"193,006","341,341",565
E06000035,887,Medway,,"41,499","65,572",633
E06000042,826,Milton Keynes,,"44,035","69,946",630
E10000025,931,Oxfordshire,,"95,637","144,878",660
E06000044,851,Portsmouth,,"43,541","45,136",965
E06000038,870,Reading,,"39,719","37,916","1,048"
E06000039,871,Slough,,"30,506","43,008",709
E06000045,852,Southampton,,"52,891","51,842","1,020"
E10000030,936,Surrey,,"196,483","265,454",740
E06000037,869,West Berkshire,,"22,453","36,227",620
E10000032,938,West Sussex,,"117,730","176,757",666
E06000040,868,Windsor and Maidenhead,,"19,168","34,920",549
E06000041,872,Wokingham,,"21,663","39,555",548
,,,,,,
,,SOUTH WEST,,"843,220","1,107,883",761
E06000022,800,Bath and North East Somerset,,"24,334","36,420",668
E06000028,837,Bournemouth,,"31,173","36,920",844
E06000023,801,"Bristol, City of",,"75,984","97,767",777
E06000052,908,Cornwall,,"76,202","108,598",702
E10000008,878,Devon,,"114,299","146,836",778
E10000009,835,Dorset,,"64,093","68,696",933
E10000013,916,Gloucestershire,,"96,960","129,259",750
E06000053,420,Isles of Scilly,,380,379,"1,003"
E06000024,802,North Somerset,,"27,505","43,960",626
E06000026,879,Plymouth,,"53,066","53,066","1,000"
E06000029,836,Poole,,"23,419","30,685",763
E10000027,933,Somerset,,"82,105","111,819",734
E06000025,803,South Gloucestershire,,"31,129","59,517",523
E06000030,866,Swindon,,"40,784","50,773",803
E06000027,880,Torbay,,"36,888","25,888","1,425"
E06000054,865,Wiltshire,,"64,899","107,300",605
